,Seq,Time,ACCx,ACCy,ACCz,ADGx,ADGy,ADGz,Keydown
0,1,1566467146253,-0.3006,-0.2049,-1.2076,-0.35202426,7.002733,5.1993537000000005,-1
1,2,1566467146263,-0.2003,-0.3927,-1.5225999,0.51171756,6.666338400000001,7.280461,-1
2,3,1566467146273,-0.0001,-0.0018999999,-0.0021,0.46808556,6.6357503,7.1808047,-1
3,4,1566467146283,-0.0030999999,0.0052,-0.059000000000000004,0.4581161,6.641381299999999,7.13203,-1
4,5,1566467146293,0.0029,0.0197,-0.084,0.45611456,6.654578,7.1077433,-1
5,6,1566467146303,-0.00049999997,-0.0047999997999999995,-0.12889999,0.45162305,6.656339999999999,7.062492999999999,-1
6,7,1566467146313,-0.0131,-0.0093,-0.14469999,0.3563817,6.6278496,7.062282000000001,-1
7,8,1566467146323,-0.083,-0.051099997,-0.15269999,0.31683907,6.613465,7.1165633,-1
8,9,1566467146333,-0.12239999,-0.080299996,-0.0652,0.29300240000000005,6.564623399999999,7.2566440000000005,-1
9,10,1566467146344,-0.112799995,-0.1055,0.0872,0.27592698,6.552843599999999,7.384896,-1
10,11,1566467146354,-0.1416,-0.1065,0.2157,0.27007553,6.524602,7.4983716000000005,-1
11,12,1566467146364,-0.121599995,-0.093399994,0.25329998,0.27825412,6.5117400000000005,7.4685880000000004,-1
12,13,1566467146375,-0.0722,-0.0711,0.1545,0.33270785,6.552787,7.387519999999999,-1
13,14,1566467146385,-0.0095,0.0008,0.0743,0.37252820000000003,6.646236999999999,7.339626299999999,-1
14,15,1566467146395,0.0257,0.0901,0.0349,0.40431362,6.6861916,7.301789,-1
15,16,1566467146405,0.07400000000000001,0.14119999,-0.0061,0.45834598,6.707107000000001,7.336284,-1
16,17,1566467146415,0.098,0.1584,0.035499997,0.48115793,6.7257915,7.3308729999999995,-1
17,18,1566467146426,0.118999995,0.18249999,0.0407,0.47050852,6.723789999999999,7.3422985,-1
18,19,1566467146436,0.1006,0.1654,0.047599997000000005,0.472692,6.715324000000001,7.3136925999999995,-1
19,20,1566467146446,0.0837,0.1293,0.0049,0.43481576,6.6750917,7.280384,-1
20,21,1566467146456,0.047599997000000005,0.1025,0.0019999999,0.37866694,6.657939999999999,7.248886,-1
21,22,1566467146467,-0.0154,0.0665,-0.0212,0.38090792,6.6547413,7.230364999999999,-1
22,23,1566467146477,-0.0088,0.103599995,-0.0394,0.46958914,6.727410000000001,7.241751700000001,-1
23,24,1566467146487,0.1388,0.196,-0.0438,0.5379196999999999,6.798651700000001,7.2193894,-1
24,25,1566467146497,0.1388,0.196,-0.0438,0.60562766,6.8788860000000005,7.200953999999999,-1
25,26,1566467146507,0.2819,0.3123,-0.0427,0.6917901999999999,6.9150004,7.20671,-1
26,27,1566467146518,0.2819,0.3123,-0.0427,0.686092,6.9801416,7.2498918,-1
27,28,1566467146528,0.2004,0.3811,0.045199998,0.6276255999999999,7.005166,7.279963,-1
28,29,1566467146538,0.1287,0.40579998,0.069299996,0.5304401999999999,7.0375834,7.316393,-1
29,30,1566467146548,0.0015,0.44959998,0.10349999,0.43835920000000006,7.0831213,7.329532,-1
30,31,1566467146559,-0.2095,0.53099996,0.0115,0.17249744,7.199413000000001,7.217167999999999,-1
31,32,1566467146569,-0.4076,0.66929996,-0.0887,-0.06530424,7.373921000000001,7.0801334,-1
32,33,1566467146580,-0.4881,0.7958,-0.1674,-0.099943556,7.4815645,7.0343275,-1
33,34,1566467146590,-0.4349,0.98889995,-0.17539999,-0.04785530599999999,7.716838,7.034758,-1
34,35,1566467146600,-0.39769998,1.1515,-0.113299996,0.03679409,7.892055,7.0894520000000005,-1
35,36,1566467146610,-0.2888,1.4109,0.0385,0.17810945,8.226353,7.263328,-1
36,37,1566467146620,-0.2146,1.7478,0.2016,0.22501665,8.536928999999999,7.376046700000001,-1
37,38,1566467146631,-0.22129999,2.1618,0.36609998,0.2107089,9.120348,7.5997133,-1
38,39,1566467146641,-0.2874,2.6924999,0.5906,0.16988298,9.779156,7.762988000000001,-1
39,40,1566467146651,-0.3514,3.2712998,0.5904,0.13368265,10.228059,7.67018,-1
40,41,1566467146661,-0.27399999999999997,3.7224998,0.6098,0.24791479,10.592322,7.693786,-1
41,42,1566467146672,-0.046699997,3.9887998,0.6867,0.4782274,10.844087,7.815583999999999,-1
42,43,1566467146682,-0.0909,4.0218997000000005,0.94759995,0.28076324,10.817060000000001,8.218011,-1
43,44,1566467146692,-0.3175,3.9392998,1.3435999,0.080090836,10.713018,8.561492999999999,-1
44,45,1566467146702,-0.55079997,3.7096998999999995,1.8375,-0.17619409,10.376967,9.111747,-1
45,46,1566467146713,-0.69229996,3.3892998999999997,2.2552,-0.34870112,9.991367,9.492780999999999,-1
46,47,1566467146723,-0.83989996,3.0339,2.5312,-0.48234546,9.716265,9.578042,-1
47,48,1566467146733,-1.0136,2.6408,2.6878,-0.64871377,9.300765,9.73018,-1
48,49,1566467146743,-1.0972998999999999,2.2428,2.8692,-0.67266536,8.967895,9.959064999999999,-1
49,50,1566467146753,-1.1359,1.7607,3.2628999,-0.81272614,8.419,10.452998,-1
50,51,1566467146764,-1.2933999,1.2412,3.7247,-1.0381545,8.0113535,10.666427,-1
51,52,1566467146774,-1.5907999,0.70409995,3.9703998999999994,-1.5213141000000001,7.4638186,10.728945,-1
52,53,1566467146784,-1.9786999,0.1607,4.0784,-1.7934486,7.1461368,10.636826,-1
53,54,1566467146794,-2.2942,-0.3292,3.9562,-2.0348512999999997,6.6469936,10.240623,-1
54,55,1566467146804,-2.4020998,-0.82159996,3.6934998,-2.1015728,6.2949305,9.929894,-1
55,56,1566467146815,-2.4514,-1.3543999,3.4148,-2.249927,5.7610717000000005,9.414577,-1
56,57,1566467146825,-2.5593998,-1.8941,3.0474,-2.4337444,5.39926,9.06216,-1
57,58,1566467146835,-2.7252,-2.3789,2.7933,-2.7239983,4.9557676,8.699323,-1
58,59,1566467146845,-2.9013999,-2.8258,2.5707998,-2.8498757,4.669152700000001,8.440902000000001,-1
59,60,1566467146855,-2.9615998,-3.2631997999999998,2.2898998,-2.9774675,4.273516000000001,7.905252000000001,-1
60,61,1566467146866,-2.9462,-3.6118,1.9196,-2.746542,3.9431927000000004,7.527015700000001,-1
61,62,1566467146876,-2.6334999,-3.9401,1.6653999,-2.5583386000000004,3.8068285000000004,7.326506,-1
62,63,1566467146886,-2.3005,-4.1608,1.4492999,-2.3210732999999997,3.5637019999999997,7.0569,-1
63,64,1566467146896,-2.0355,-4.3729997,1.2824,-2.190972,3.3713615,6.955549,-1
64,65,1566467146906,-1.7895999,-4.6472,1.2061,-2.125668,2.9714725,6.8063326,-1
65,66,1566467146917,-1.6514,-5.0051,1.0957,-2.1501272,2.6455832000000004,6.6420710000000005,-1
66,67,1566467146927,-1.6008999,-5.428999999999999,0.91459996,-2.3057408,2.1559117000000003,6.309008599999999,-1
67,68,1566467146937,-1.6436,-6.1981997,0.35,-2.3696945,1.7295137999999999,5.899332,-1
68,69,1566467146947,-1.5672,-6.5355,0.066,-2.3728838,1.4926698,5.660946400000001,-1
69,70,1566467146957,-1.4535999,-6.7862,-0.19649999,-2.267826,1.2215695,5.3404393,-1
70,71,1566467146968,-1.1093,-6.9407997,-0.31039998,-2.0279078,1.1112161,5.223305,-1
71,72,1566467146978,-0.84029996,-7.0097,-0.4719,-1.7348003,1.069308,4.9840480000000005,-1
72,73,1566467146988,-0.84029996,-7.0097,-0.4719,-1.5037215,1.0848799,4.81314,-1
73,74,1566467146998,-0.041899998,-6.9589,-0.7818,-0.89557505,1.1991886,4.6035995000000005,-1
74,75,1566467147008,0.44599998,-6.8395996,-0.9106,-0.27418400000000004,1.3701538,4.378602,-1
75,76,1566467147019,0.9941,-6.7331996,-1.0763,0.24757960000000004,1.4987128,4.234662999999999,-1
76,77,1566467147029,1.6272,-6.5106997,-1.2803,1.0540713,1.8134162,3.8917077000000004,-1
77,78,1566467147039,2.1949,-6.3461,-1.5541999,1.5010303999999999,1.9314216,3.6669017999999998,-1
78,79,1566467147049,2.5934,-6.2860000000000005,-1.7050999,2.0157359,1.9977984,3.5135004999999997,-1
79,80,1566467147059,2.9009,-6.2699,-1.7163,2.3299127,2.0414016,3.4864937999999994,-1
80,81,1566467147069,3.1262999,-6.1295,-1.7371999,2.733125,2.3008184,3.4758443999999997,-1
81,82,1566467147080,3.5523998999999997,-5.8543,-1.6322999,3.1461725,2.5254613999999997,3.5744665,-1
82,83,1566467147090,4.0312,-5.5115,-1.4919,3.9174216,2.9741635,3.7033894,-1
83,84,1566467147100,4.7152,-5.0705,-1.5620999,4.4849625,3.3288789,3.6091727999999996,-1
84,85,1566467147110,5.1506,-4.707,-1.7166,4.963218,3.6483421000000003,3.535489,-1
85,86,1566467147120,5.2057,-4.5955997,-1.7125,4.980342,3.6651876000000003,3.6176102,-1
86,87,1566467147130,5.0186996,-4.6087,-1.6083,4.814242,3.6141818,3.894964,-1
87,88,1566467147141,4.9645,-4.434,-1.3328999,5.0948324000000005,4.012768299999999,4.4095736,-1
88,89,1566467147151,5.375499700000001,-3.8279,-0.98099995,5.584906,4.585854,4.784467,-1
89,90,1566467147161,6.0204,-2.9880998,-0.6085,6.167023,5.1759863,5.1514505999999995,-1
90,91,1566467147171,6.7254996,-2.2282999,-0.2828,7.1187086,5.926674,5.678855,-1
91,92,1566467147182,7.3629,-1.6559,-0.0919,7.745500999999999,6.442682,5.9359535999999995,-1
92,93,1566467147192,7.5803,-1.1228,0.090799995,7.742254300000001,6.7544070000000005,6.301855000000001,-1
93,94,1566467147202,7.321399700000001,-0.68759996,0.4714,7.2708845,7.084328,7.0179032999999995,-1
94,95,1566467147212,6.8197,-0.3507,0.96339995,6.9504156,7.276247,7.5070386,-1
95,96,1566467147222,6.4832,0.100999996,1.3348,6.730647,7.827785,8.025556,-1
96,97,1566467147232,6.4044,0.8412,1.5116,6.7037168000000005,8.419096000000001,8.194567999999999,-1
97,98,1566467147243,6.3385,1.8671999,1.4376,6.7349854,9.55862,8.020392999999999,-1
98,99,1566467147252,6.5183,3.0405998,0.87799996,6.962664,10.424498,7.524708,-1
99,100,1566467147262,6.746,4.2356,-0.0517,7.0264745,11.785927000000001,6.161756,-1
100,101,1566467147272,6.7103,5.4765997,-1.4541998999999999,6.993989999999999,12.504111,5.4940705,-1
101,102,1566467147282,6.6429996,6.3382998,-1.7744,6.6898017,13.279727,5.9075584,-1
102,103,1566467147292,6.3304,7.1173,-1.1991,6.456214,13.739423,6.758774000000001,-1
103,104,1566467147302,6.1828,7.8581996,-0.0565,6.3458986,14.386460999999999,8.523349000000001,-1
104,105,1566467147312,6.142299700000001,8.5905,1.4951999,6.4342833,14.814535000000001,9.884816,-1
105,106,1566467147323,6.3294,9.3598995,3.0052,6.8762045,15.584348,11.755923,-1
106,107,1566467147333,6.7091,10.1627,4.2662997,7.4291697,16.22543,12.8567295,-1
107,108,1566467147343,7.029,10.7262,4.9091997,7.765372999999999,16.49244,13.079188,-1
108,109,1566467147354,7.2532997,11.0647,4.9353,8.000742,16.654278,12.754095,-1
109,110,1566467147364,7.285599700000001,11.1799,4.5765,7.917654,16.537134,12.558498,-1
110,111,1566467147374,6.9252996,10.882299,4.3861,7.2349234,15.942146,12.532899,-1
111,112,1566467147384,6.1724997,10.3536,4.4776998,6.5722179999999994,15.453854000000002,12.6467285,-1
112,113,1566467147394,5.1791,9.6171,4.5736,5.544914,14.553145,12.488491,-1
113,114,1566467147404,4.3227997,8.8426,4.4357,4.883558799999999,13.944951000000001,12.28394,-1
114,115,1566467147415,3.3888,7.9542,4.229,3.7322156000000004,13.001271000000001,11.929436,-1
115,116,1566467147425,2.3927,7.0530996,3.9912998999999996,3.0209558,12.293546000000001,11.732814999999999,-1
116,117,1566467147435,1.5547,6.1215997,3.8497999,1.8952692,11.267257,11.477333999999999,-1
